domain,total_stories,total_score,total_comments,avg_score_per_story,avg_comments_per_story
twitter.com,2,6,0,3.0,0.0
github.com,3,5,0,1.67,0.0
arxiv.org,2,5,0,2.5,0.0
youtube.com,2,4,0,2.0,0.0
